Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
68145,Tod und Teufel,Frank Schätzing,"Schätzing, Frank",,"=""3442455316""","=""9783442455317""",0,3.69,Goldmann,Paperback,512,2003,1995,,2025/10/22,,,read,,,,1,0
198116749,Der letzte Schattenritter (Die Saga der Schattenritter 1) (German Edition),Michael   Webb,"Webb, Michael",Elena Wember,"=""""","=""""",4,4.20,LMBPN International,Kindle Edition,612,2023,2021,,2024/08/27,,,read,,,,1,0
198109106,"Aufstieg des Schattens (Die Saga der Schattenritter, #2)",Michael   Webb,"Webb, Michael",Elena Wember,"=""""","=""""",0,4.44,LMBPN International,Kindle Edition,511,2024,2021,,2024/08/27,currently-reading,currently-reading (#1),currently-reading,,,,1,0
10659781,"Gladiator (Rom, #9)",Simon Scarrow,"Scarrow, Simon",Norbert Stöbe,"=""3453435060""","=""9783453435063""",5,4.24,Heyne Verlag,Paperback,533,2011,2009,,2021/08/29,,,read,,,,1,0
1631374,Das Ende Ist Mein Anfang,Tiziano Terzani,"Terzani, Tiziano",,"=""3421042926""","=""9783421042927""",0,4.47,DVA Dt.Verlags-Anstalt,Hardcover,411,2007,2006,,2024/08/27,to-read,to-read (#31),to-read,,,,0,0
34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,"=""""","=""""",0,4.37,Scribner,Hardcover,368,2017,2017,,2024/08/27,to-read,to-read (#30),to-read,,,,0,0
18176747,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers―Straight Talk on the Challenges of Entrepreneurship,Ben Horowitz,"Horowitz, Ben",,"=""0062273205""","=""9780062273208""",0,4.20,Harper Business,Hardcover,304,2014,2014,,2024/08/27,to-read,to-read (#29),to-read,,,,0,0
1119263,"Oje, ich wachse!",Hetty van de Rijt,"Rijt, Hetty van de",Frans X. Plooij,"=""3442161444""","=""9783442161447""",4,3.90,Mosaik bei Goldmann,Paperback,351,1998,1992,,2023/02/28,,,read,,,,1,0
30257963,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"Peterson, Jordan B.",,"=""0345816021""","=""9780345816023""",1,3.91,Random House Canada,Hardcover,409,2018,2018,,2023/12/10,,,read,,,,1,0
34516335,Sales EQ: How Ultra High Performers Leverage Sales-Specific Emotional Intelligence to Close the Complex Deal,Jeb Blount,"Blount, Jeb",Anthony Iannarino,"=""""","=""""",0,4.28,Wiley,Kindle Edition,305,2017,2017,,2023/12/10,to-read,to-read (#28),to-read,,,,0,0
3907050,"EQ, Emotionale Intelligenz, 1 Cassette",Daniel Goleman,"Goleman, Daniel",,"=""3895848832""","=""9783895848834""",5,4.05,Der Hörverl,Audio Cassette,0,2001,1995,,2023/12/10,,,read,,,,1,0
16065511,Mind Whispering: A New Map to Freedom from Self-Defeating Emotional Habits,Tara Bennett-Goleman,"Bennett-Goleman, Tara",Dalai Lama XIV,"=""0062130897""","=""9780062130891""",0,3.52,HarperOne,Unknown Binding,336,2013,2013,,2023/10/21,to-read,to-read (#27),to-read,,,,0,0
23343019,Die 10 wichtigsten Fragen des Lebens,Gregor Eisenhauer,"Eisenhauer, Gregor",,"=""3832197591""","=""9783832197599""",0,2.97,DuMont Buchverlag,Hardcover,254,2014,2014,,2023/07/19,to-read,to-read (#26),to-read,,,,0,0
1325845,Der Spieler,Fyodor Dostoevsky,"Dostoevsky, Fyodor",,"=""3423124067""","=""9783423124065""",5,3.91,dtv,Paperback,173,1981,1866,,2021/08/29,,,read,,,,1,0
6398634,The Happiness Project,Gretchen Rubin,"Rubin, Gretchen",,"=""0061583251""","=""9780061583254""",5,3.65,Harper,Hardcover,301,2009,2009,,2023/06/10,,,read,,,,1,0
28076369,Der Pfau,Isabel Bogdan,"Bogdan, Isabel",,"=""3462048007""","=""9783462048001""",0,3.71,Kiepenheuer&Witsch,Hardcover,256,2016,2016,,2023/04/07,to-read,to-read (#25),to-read,,,,0,0
942336,Die Räuber,Friedrich Schiller,"Schiller, Friedrich",,"=""3150000157""","=""9783150000151""",4,3.42,Reclam,Paperback,176,1986,1781,,2023/03/25,,,read,,,,1,0
62206764,"Blutmond (Harry Hole, #13)",Jo Nesbø,"Nesbø, Jo",Günther Frauenlob,"=""3843728771""","=""9783843728775""",0,4.18,Ullstein Ebooks,Kindle Edition,544,2022,2022,,2023/03/25,to-read,to-read (#24),to-read,,,,0,0
20637025,Der Distelfink,Donna Tartt,"Tartt, Donna",,"=""""","=""9783442312399""",5,3.96,Goldmann,Hardcover,1024,2014,2013,,2023/03/25,,,read,,,,1,0
52334159,"Messer (Harry Hole, #12)",Jo Nesbø,"Nesbø, Jo",,"=""3550081731""","=""9783550081736""",5,4.27,Ullstein Buchverlage GmbH,Hardcover,575,2019,2019,,2023/03/25,,,read,,,,1,0
45894432,"Durst (Harry Hole, #11)",Jo Nesbø,"Nesbø, Jo",,"=""3957130875""","=""9783957130877""",5,4.18,Hörbuch Hamburg,Audio CD,,2017,2017,,2023/03/25,,,read,,,,1,0
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",0,4.16,Grand Central Publishing,Hardcover,296,2016,2016,,2023/03/25,to-read,to-read (#23),to-read,,,,0,0
23355220,"The Leopard (Harry Hole, #8)",Jo Nesbø,"Nesbø, Jo",,"=""""","=""""",5,4.10,,Paperback,634,2009,2009,,2023/03/25,,,read,,,,1,0
5658534,"Schneemann (Harry Hole, #7)",Jo Nesbø,"Nesbø, Jo",,"=""3550087578""","=""9783550087578""",5,4.02,Ullstein Hardcover ,Hardcover,496,2008,2007,,2023/03/25,,,read,,,,1,0
